Organism_name	Host_Class	Virus_Class	Host_genus	CAI	Host	median	CodonSum
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584325.1	other mammals	DNA virus	Bos	0.697685818169093	Bos_taurus.ARS-UCD1.3	0.74906515	612
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584415.1	other mammals	DNA virus	Bos	0.71892781206824	Bos_taurus.ARS-UCD1.3	0.74906515	640
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584435.1	other mammals	DNA virus	Bos	0.730634910092376	Bos_taurus.ARS-UCD1.3	0.74906515	653
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584445.1	other mammals	DNA virus	Bos	0.715090957882453	Bos_taurus.ARS-UCD1.3	0.74906515	643
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584455.1	other mammals	DNA virus	Bos	0.734516307375776	Bos_taurus.ARS-UCD1.3	0.74906515	651
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584465.1	other mammals	DNA virus	Bos	0.700616937254176	Bos_taurus.ARS-UCD1.3	0.74906515	638
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584485.1	other mammals	DNA virus	Bos	0.706072217485578	Bos_taurus.ARS-UCD1.3	0.74906515	646
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584495.1	other mammals	DNA virus	Bos	0.721728214220787	Bos_taurus.ARS-UCD1.3	0.74906515	656
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584505.1	other mammals	DNA virus	Bos	0.69235355487002	Bos_taurus.ARS-UCD1.3	0.74906515	628
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584515.1	other mammals	DNA virus	Bos	0.744450024639067	Bos_taurus.ARS-UCD1.3	0.74906515	555
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584535.1	other mammals	DNA virus	Bos	0.730858357003085	Bos_taurus.ARS-UCD1.3	0.74906515	622
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584555.1	other mammals	DNA virus	Bos	0.731869169406041	Bos_taurus.ARS-UCD1.3	0.74906515	639
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584565.1	other mammals	DNA virus	Bos	0.734232716756266	Bos_taurus.ARS-UCD1.3	0.74906515	620
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584595.1	other mammals	DNA virus	Bos	0.724169475688388	Bos_taurus.ARS-UCD1.3	0.74906515	632
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584615.1	other mammals	DNA virus	Bos	0.729582350653129	Bos_taurus.ARS-UCD1.3	0.74906515	640
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584635.1	other mammals	DNA virus	Bos	0.72785566885242	Bos_taurus.ARS-UCD1.3	0.74906515	670
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584665.1	other mammals	DNA virus	Bos	0.701641641275564	Bos_taurus.ARS-UCD1.3	0.74906515	626
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584675.1	other mammals	DNA virus	Bos	0.705002539833168	Bos_taurus.ARS-UCD1.3	0.74906515	631
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584685.1	other mammals	DNA virus	Bos	0.720836536389503	Bos_taurus.ARS-UCD1.3	0.74906515	658
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584705.1	other mammals	DNA virus	Bos	0.731243346659848	Bos_taurus.ARS-UCD1.3	0.74906515	641
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584715.1	other mammals	DNA virus	Bos	0.738312383033803	Bos_taurus.ARS-UCD1.3	0.74906515	641
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584725.1	other mammals	DNA virus	Bos	0.732070151058149	Bos_taurus.ARS-UCD1.3	0.74906515	633
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584735.1	other mammals	DNA virus	Bos	0.710351925943387	Bos_taurus.ARS-UCD1.3	0.74906515	604
Genomoviridae sp. :Genomoviridae sp.:ssDNA::GCF_018584745.1	other mammals	DNA virus	Bos	0.772229421457787	Bos_taurus.ARS-UCD1.3	0.74906515	567
Genomoviridae sp. :Genomoviridae sp.:ssDNA:Melanogrammus aeglefinus:GCF_018584335.1	other mammals	DNA virus	Bos	0.705585135713999	Bos_taurus.ARS-UCD1.3	0.74906515	624
Genomoviridae sp. :Genomoviridae sp.:ssDNA:Melanogrammus aeglefinus:GCF_018584525.1	other mammals	DNA virus	Bos	0.718485534675782	Bos_taurus.ARS-UCD1.3	0.74906515	630
Genomoviridae sp. :Genomoviridae sp.:ssDNA:Melanogrammus aeglefinus:GCF_018584575.1	other mammals	DNA virus	Bos	0.730184557922059	Bos_taurus.ARS-UCD1.3	0.74906515	624
Genomoviridae sp. :Genomoviridae sp.:ssDNA:Melanogrammus aeglefinus:GCF_018584655.1	other mammals	DNA virus	Bos	0.755074656400482	Bos_taurus.ARS-UCD1.3	0.74906515	647
Genomoviridae sp. :Genomoviridae sp.:ssDNA:Metazoa:GCF_018584545.1	other mammals	DNA virus	Bos	0.724137583723432	Bos_taurus.ARS-UCD1.3	0.74906515	611
Genomoviridae sp. :Genomoviridae sp.:ssDNA:Oncorhynchus mykiss:GCF_018584625.1	other mammals	DNA virus	Bos	0.757822911158511	Bos_taurus.ARS-UCD1.3	0.74906515	643
Genomoviridae sp. :Genomoviridae sp.:ssDNA:unidentified:GCF_018591265.1	other mammals	DNA virus	Bos	0.71310551391731	Bos_taurus.ARS-UCD1.3	0.74906515	640
Getah virus :Getah virus:ssRNA(+)::GCF_000855805.1	other mammals	RNA virus	Bos	0.690345162814353	Bos_taurus.ARS-UCD1.3	0.74906515	4549
Guangxi orbivirus :Guangxi orbivirus:dsRNA:Bos taurus:GCF_004117355.1	other mammals	RNA virus	Bos	0.606370265304736	Bos_taurus.ARS-UCD1.3	0.74906515	6265
Hayes Yard virus :Ephemerovirus hayes:ssRNA(-):Bos indicus:GCF_018583905.1	other mammals	RNA virus	Bos	0.661937590020237	Bos_taurus.ARS-UCD1.3	0.74906515	4775
Hepacivirus bovis :Hepacivirus bovis:ssRNA(+):Bos taurus:GCF_002821085.1	other mammals	RNA virus	Bos	0.714128132665753	Bos_taurus.ARS-UCD1.3	0.74906515	2779
Hepatitis B virus :Hepatitis B virus:dsDNA-RT::GCF_000861825.2	other mammals	DNA virus	Bos	0.689014952929171	Bos_taurus.ARS-UCD1.3	0.74906515	2277
Influenza A virus (A/California/07/2009(H1N1)) :Alphainfluenzavirus influenzae:ssRNA(-):Homo sapiens:GCF_001343785.1	other mammals	RNA virus	Bos	0.689059536424815	Bos_taurus.ARS-UCD1.3	0.74906515	4681
Influenza A virus (A/Puerto Rico/8/1934(H1N1)) :Alphainfluenzavirus influenzae:ssRNA(-)::GCF_000865725.1	other mammals	RNA virus	Bos	0.69922858836229	Bos_taurus.ARS-UCD1.3	0.74906515	4789
Influenza C virus (C/Ann Arbor/1/50) :Gammainfluenzavirus influenzae:ssRNA(-)::GCF_000856665.10	other mammals	RNA virus	Bos	0.657817886890504	Bos_taurus.ARS-UCD1.3	0.74906515	4266
Jaagsiekte sheep retrovirus :Jaagsiekte sheep retrovirus:ssRNA-RT::GCF_000850005.1	other mammals	RNA virus	Bos	0.631693238321084	Bos_taurus.ARS-UCD1.3	0.74906515	2459
Jembrana disease virus :Jembrana disease virus:ssRNA-RT:Bos javanicus:GCF_003196735.1	other mammals	RNA virus	Bos	0.661855582217114	Bos_taurus.ARS-UCD1.3	0.74906515	3635
Jingmen tick virus :Mogiana tick virus:ssRNA(+):Rhipicephalus microplus:GCF_000919875.1	other mammals	RNA virus	Bos	0.709343309811531	Bos_taurus.ARS-UCD1.3	0.74906515	3268
Kimberley virus :Ephemerovirus kimberley:ssRNA(-):Bos taurus:GCF_000927315.1	other mammals	RNA virus	Bos	0.661797424296365	Bos_taurus.ARS-UCD1.3	0.74906515	4627
Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN :Aichivirus D:ssRNA(+):Bos taurus:GCF_001308755.1	other mammals	RNA virus	Bos	0.774150326371582	Bos_taurus.ARS-UCD1.3	0.74906515	2484
Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN :Aichivirus D:ssRNA(+):Bos taurus:GCF_001308635.1	other mammals	RNA virus	Bos	0.774163346989606	Bos_taurus.ARS-UCD1.3	0.74906515	2502
Koolpinyah virus :Ephemerovirus koolpinyah:ssRNA(-):Bos taurus:GCF_001432135.1	other mammals	RNA virus	Bos	0.624513817986886	Bos_taurus.ARS-UCD1.3	0.74906515	4786
Lyssavirus rabies :Lyssavirus rabies:ssRNA(-)::GCF_000859625.1	other mammals	RNA virus	Bos	0.692856335160839	Bos_taurus.ARS-UCD1.3	0.74906515	3615
Mamastrovirus 13 :Mamastrovirus 13:ssRNA(+):Ovis aries:GCF_000855165.1	other mammals	RNA virus	Bos	0.726915651885946	Bos_taurus.ARS-UCD1.3	0.74906515	2957
Mammalian orthoreovirus 3 :Mammalian orthoreovirus:dsRNA:Paguma larvata:GCF_000924315.1	other mammals	RNA virus	Bos	0.654753347983926	Bos_taurus.ARS-UCD1.3	0.74906515	7720
Mammarenavirus choriomeningitidis :Mammarenavirus choriomeningitidis:ssRNA(+/-)::GCF_000851025.1	other mammals	RNA virus	Bos	0.701065188547819	Bos_taurus.ARS-UCD1.3	0.74906515	3361
Mammarenavirus choriomeningitidis :Mammarenavirus choriomeningitidis:ssRNA(+/-)::GCF_004789475.1	other mammals	RNA virus	Bos	0.704020666947106	Bos_taurus.ARS-UCD1.3	0.74906515	3356
Ndumu virus :Ndumu virus:ssRNA(+)::GCF_000895975.1	other mammals	RNA virus	Bos	0.68868519176198	Bos_taurus.ARS-UCD1.3	0.74906515	6316
Newbury agent 1 :Newbury 1 virus:ssRNA(+):Bos taurus:GCF_000867125.1	other mammals	RNA virus	Bos	0.716847048056539	Bos_taurus.ARS-UCD1.3	0.74906515	2435
Norovirus GIII :Norwalk virus:ssRNA(+):Bos taurus:GCF_001595675.1	other mammals	RNA virus	Bos	0.760216566944723	Bos_taurus.ARS-UCD1.3	0.74906515	2422
Norwalk-like virus :Norwalk virus:ssRNA(+)::GCF_001595695.1	other mammals	RNA virus	Bos	0.723384863633206	Bos_taurus.ARS-UCD1.3	0.74906515	2493
Obodhiang virus :Ephemerovirus obodhiang:ssRNA(-):Mansonia uniformis:GCF_000896135.1	other mammals	RNA virus	Bos	0.642991557484808	Bos_taurus.ARS-UCD1.3	0.74906515	4703
Orf virus :Orf virus:dsDNA::GCF_000844845.1	other mammals	DNA virus	Bos	0.712167153465123	Bos_taurus_hybrid.UOA_Angus_1	0.73936295	42185
Orthobunyavirus shuniense :Orthobunyavirus shuniense:ssRNA(-):Equus caballus:GCF_006298405.1	other mammals	RNA virus	Bos	0.634766142935705	Bos_taurus.ARS-UCD1.3	0.74906515	3980
Orthonairovirus haemorrhagiae :Orthonairovirus haemorrhagiae:ssRNA(-)::GCF_000854165.1	other mammals	RNA virus	Bos	0.68174978426662	Bos_taurus.ARS-UCD1.3	0.74906515	6111
Ovine gammaherpesvirus 2 :Macavirus ovinegamma2:dsDNA:Ovis aries:GCF_000866865.1	other mammals	DNA virus	Bos	0.749779051070351	Bos_taurus.ARS-UCD1.3	0.74906515	34997
Palyam virus :Palyam virus:dsRNA::GCF_000856065.1	other mammals	RNA virus	Bos	0.618212589370817	Bos_taurus.ARS-UCD1.3	0.74906515	6154
Parvoviridae sp. :Parvoviridae sp.:ssDNA(+/-):Grus japonensis:GCF_003389915.1	other mammals	DNA virus	Bos	0.631368021699342	Bos_taurus.ARS-UCD1.3	0.74906515	1197
Parvoviridae sp. :Parvoviridae sp.:ssDNA(+/-):Grus japonensis:GCF_003389935.1	other mammals	DNA virus	Bos	0.642831603897783	Bos_taurus.ARS-UCD1.3	0.74906515	1140
Peaton virus :Orthobunyavirus peachesterense:ssRNA(-)::GCF_004789295.1	other mammals	RNA virus	Bos	0.615537475462738	Bos_taurus.ARS-UCD1.3	0.74906515	3976
Peste des petits ruminants virus :Morbillivirus caprinae:ssRNA(-):Ovis aries:GCF_000866445.1	other mammals	RNA virus	Bos	0.682479526103678	Bos_taurus.ARS-UCD1.3	0.74906515	4884
Pestivirus sp. :Pestivirus sp.:ssRNA(+):Ovis aries:GCF_029884895.1	other mammals	RNA virus	Bos	0.668521355879713	Bos_taurus.ARS-UCD1.3	0.74906515	3894
Picobirnavirus sp. :Picobirnavirus sp.:dsRNA:Capreolus capreolus:GCF_004117395.1	other mammals	RNA virus	Bos	0.688510683952269	Bos_taurus.ARS-UCD1.3	0.74906515	1366
Picornaviridae sp. :Picornaviridae sp.:ssRNA(+):Grus japonensis:GCF_003389975.1	other mammals	RNA virus	Bos	0.688956353851181	Bos_taurus.ARS-UCD1.3	0.74906515	2231
Pseudocowpox virus :Pseudocowpox virus:dsDNA::GCF_000886295.1	other mammals	DNA virus	Bos	0.717826852684475	Bos_taurus_hybrid.UOA_Angus_1	0.73936295	43416
Respirovirus bovis :Respirovirus bovis:ssRNA(-)::GCF_000854745.1	other mammals	RNA virus	Bos	0.61120488090345	Bos_taurus.ARS-UCD1.3	0.74906515	4807
Rift Valley fever virus :Phlebovirus riftense:ssRNA(+/-)::GCF_000847345.1	other mammals	RNA virus	Bos	0.713345106897583	Bos_taurus.ARS-UCD1.3	0.74906515	3799
Rinderpest virus (strain Kabete O) :Morbillivirus pecoris:ssRNA(-):Bos taurus:GCF_000856645.1	other mammals	RNA virus	Bos	0.684888908426859	Bos_taurus.ARS-UCD1.3	0.74906515	4882
Rotavirus A :Rotavirus A:dsRNA::GCF_000880735.1	other mammals	RNA virus	Bos	0.607463482260259	Bos_taurus.ARS-UCD1.3	0.74906515	5897
Sango virus :Orthobunyavirus sangoense:ssRNA(-)::GCF_004789335.1	other mammals	RNA virus	Bos	0.620772669328834	Bos_taurus.ARS-UCD1.3	0.74906515	3977
Sathuperi orthobunyavirus :Orthobunyavirus schmallenbergense:ssRNA(-)::GCF_000899155.1	other mammals	RNA virus	Bos	0.63569679458967	Bos_taurus.ARS-UCD1.3	0.74906515	3981
Schmallenberg virus :Orthobunyavirus schmallenbergense:ssRNA(-):Bos taurus:GCF_004789575.1	other mammals	RNA virus	Bos	0.641382162593681	Bos_taurus.ARS-UCD1.3	0.74906515	3981
Sclerotinia sclerotiorum dsRNA mycovirus-L :Sclerotinia sclerotiorum dsRNA mycovirus-L:dsRNA:Sclerotinia sclerotiorum:GCF_000897075.1	other mammals	RNA virus	Bos	0.620481375248091	Bos_taurus.ARS-UCD1.3	0.74906515	2643
Sclerotinia sclerotiorum mitovirus 3 :Duamitovirus scsc3:ssRNA(+):Sclerotinia sclerotiorum:GCF_023119765.1	other mammals	RNA virus	Bos	0.596506562271216	Bos_taurus.ARS-UCD1.3	0.74906515	701
Senecavirus A :Senecavirus A:ssRNA(+)::GCF_000881615.1	other mammals	RNA virus	Bos	0.732454304656809	Bos_taurus.ARS-UCD1.3	0.74906515	2181
Severe acute respiratory syndrome coronavirus 2 :Severe acute respiratory syndrome-related coronavirus:ssRNA(+):Homo sapiens:GCF_009858895.2	other mammals	RNA virus	Bos	0.667810975855747	Bos_taurus.ARS-UCD1.3	0.74906515	9744
Severe fever with thrombocytopenia syndrome virus :Bandavirus dabieense:ssRNA(+/-):Homo sapiens:GCF_003087855.1	other mammals	RNA virus	Bos	0.730101890520083	Bos_taurus.ARS-UCD1.3	0.74906515	3695
Sewage associated gemycircularvirus 3 :Gemykibivirus sewopo1:ssDNA::GCF_000928295.1	other mammals	DNA virus	Bos	0.713745552304628	Bos_taurus.ARS-UCD1.3	0.74906515	883
Sewage associated gemycircularvirus 3 :Gemykibivirus sewopo1:ssDNA:Gallus gallus:GCF_001646055.1	other mammals	DNA virus	Bos	0.716922181676095	Bos_taurus.ARS-UCD1.3	0.74906515	877
Shamonda orthobunyavirus :Orthobunyavirus schmallenbergense:ssRNA(-)::GCF_000900015.1	other mammals	RNA virus	Bos	0.63592386075569	Bos_taurus.ARS-UCD1.3	0.74906515	3981
Suid alphaherpesvirus 1 :Varicellovirus suidalpha1:dsDNA:Sus scrofa:GCF_000843825.1	other mammals	DNA virus	Bos	0.705902760969687	Bos_taurus_hybrid.UOA_Angus_1	0.73936295	35538
Suid alphaherpesvirus 1 :Varicellovirus suidalpha1:dsDNA:Sus scrofa:GCF_008791805.1	other mammals	DNA virus	Bos	0.706124996375117	Bos_taurus_hybrid.UOA_Angus_1	0.73936295	35535
Tacheng Tick Virus 1 :Orthonairovirus tachengense:ssRNA(-):Dermacentor marginatus:GCF_001755105.1	other mammals	RNA virus	Bos	0.698106915478646	Bos_taurus.ARS-UCD1.3	0.74906515	5797
Tacheng Tick Virus 2 :Uukuvirus tachengense:RNA:Dermacentor marginatus:GCF_013086895.1	other mammals	RNA virus	Bos	0.759848194053705	Bos_taurus.ARS-UCD1.3	0.74906515	2629
Tetraparvovirus ungulate1 :Tetraparvovirus ungulate1:ssDNA(+/-):Bos grunniens:GCF_001430475.1	other mammals	DNA virus	Bos	0.684171343244358	Bos_taurus.ARS-UCD1.3	0.74906515	2136
Torque teno virus :Torque teno virus:ssDNA(-)::GCF_018580245.1	other mammals	DNA virus	Bos	0.674763923789318	Bos_taurus.ARS-UCD1.3	0.74906515	1044
Vesicular stomatitis Indiana virus :Vesiculovirus indiana:ssRNA(-)::GCF_000850045.1	other mammals	RNA virus	Bos	0.683222174544658	Bos_taurus.ARS-UCD1.3	0.74906515	3603
Vesicular stomatitis Indiana virus :Vesiculovirus indiana:ssRNA(-):Equus caballus:GCF_002815995.1	other mammals	RNA virus	Bos	0.682610162897634	Bos_taurus.ARS-UCD1.3	0.74906515	3536
Vesicular stomatitis New Jersey virus :Vesiculovirus newjersey:ssRNA(-):Bos taurus:GCF_000923855.1	other mammals	RNA virus	Bos	0.67850435739841	Bos_taurus.ARS-UCD1.3	0.74906515	3616
West Nile virus :Orthoflavivirus nilense:ssRNA(+)::GCF_000861085.1	other mammals	RNA virus	Bos	0.726566524151349	Bos_taurus.ARS-UCD1.3	0.74906515	4621
West Nile virus :Orthoflavivirus nilense:ssRNA(+)::GCF_000875385.1	other mammals	RNA virus	Bos	0.721934369932781	Bos_taurus.ARS-UCD1.3	0.74906515	7181
Xipapillomavirus 1 :Xipapillomavirus 1:dsDNA::GCF_000863665.1	other mammals	DNA virus	Bos	0.664883740682408	Bos_taurus.ARS-UCD1.3	0.74906515	2462
Yak enterovirus :Yak enterovirus:ssRNA(+):Bos grunniens:GCF_001618995.1	other mammals	RNA virus	Bos	0.729957713732831	Bos_taurus.ARS-UCD1.3	0.74906515	2166
Yunnan orbivirus :Yunnan orbivirus:dsRNA::GCF_000864365.1	other mammals	RNA virus	Bos	0.614241348178562	Bos_taurus.ARS-UCD1.3	0.74906515	6376
bovine rhinitis B virus 1 :Bovine rhinitis B virus:ssRNA(+):Bos taurus:GCF_000879775.1	other mammals	RNA virus	Bos	0.725740991170513	Bos_taurus.ARS-UCD1.3	0.74906515	2280
hunnivirus A1 :Hunnivirus A:ssRNA(+):Bos taurus:GCF_000897695.1	other mammals	RNA virus	Bos	0.728779052027187	Bos_taurus.ARS-UCD1.3	0.74906515	2243
Watermelon mosaic virus :Watermelon mosaic virus:ssRNA(+)::GCF_000856625.1	Liliopsida_Plant	RNA virus	Brachypodium	0.39063515647714	Brachypodium_distachyon.Brachypodium_distachyon_v3.0	0.5627836	3217
Ageratum enation virus :Ageratum enation virus:ssDNA(+/-):Ageratum conyzoides:GCF_000859025.1	eudicotyledons_Plant	DNA virus	Brassica	0.555334987062757	Brassica_napus.AST_PRJEB5043_v1	0.60909585	1085
Beet curly top Iran virus :Beet curly top Iran virus:ssDNA(+/-):Beta vulgaris subsp. vulgaris:GCF_000879795.1	eudicotyledons_Plant	DNA virus	Brassica	0.58333455915345	Brassica_napus.AST_PRJEB5043_v1	0.60909585	863
Beet western yellows virus :Beet western yellows virus:ssRNA(+)::GCF_000852565.1	eudicotyledons_Plant	RNA virus	Brassica	0.573782976825869	Brassica_napus.AST_PRJEB5043_v1	0.60909585	2979
Brassica napus RNA virus 1 :Waikavirus brassicae:ssRNA(+):Brassica napus:GCF_004134645.1	eudicotyledons_Plant	RNA virus	Brassica	0.588863364565695	Brassica_napus.AST_PRJEB5043_v1	0.60909585	3558
Brassica yellows virus :Turnip yellows virus:ssRNA(+):Brassica napus subsp. rapifera:GCF_000894875.2	eudicotyledons_Plant	RNA virus	Brassica	0.579883771980188	Brassica_napus.AST_PRJEB5043_v1	0.60909585	2664
Broad bean wilt virus 2 :Fabavirus betaviciae:ssRNA(+)::GCF_000861605.1	eudicotyledons_Plant	RNA virus	Brassica	0.57099508810235	Brassica_napus.AST_PRJEB5043_v1	0.60909585	2933
Cabbage leaf curl Jamaica virus :Cabbage leaf curl Jamaica virus:ssDNA(+/-):Brassica oleracea var. botrytis:GCF_002867425.1	eudicotyledons_Plant	DNA virus	Brassica	0.561752803430688	Brassica_napus.AST_PRJEB5043_v1	0.60909585	1499
Cauliflower mosaic virus :Caulimovirus tessellobrassicae:dsDNA-RT::GCF_000848745.2	eudicotyledons_Plant	DNA virus	Brassica	0.556458501485461	Brassica_napus.AST_PRJEB5043_v1	0.60909585	2303
Chickpea chlorotic dwarf virus :Chickpea chlorotic dwarf virus:ssDNA(+/-):Cicer arietinum:GCF_000880315.1	eudicotyledons_Plant	DNA virus	Brassica	0.645150988229053	Brassica_napus.AST_PRJEB5043_v1	0.60909585	963
Croton yellow vein mosaic virus :Croton yellow vein mosaic virus:ssDNA(+/-):Croton bonplandianus:GCF_000857305.1	eudicotyledons_Plant	DNA virus	Brassica	0.57650451609008	Brassica_napus.AST_PRJEB5043_v1	0.60909585	1195
Cucumber mosaic virus :Cucumber mosaic virus:ssRNA(+)::GCF_000864745.1	eudicotyledons_Plant	RNA virus	Brassica	0.597092075283431	Brassica_napus.AST_PRJEB5043_v1	0.60909585	2457
Pedilanthus leaf curl virus :Pedilanthus leaf curl virus:ssDNA(+/-)::GCF_000881095.1	eudicotyledons_Plant	DNA virus	Brassica	0.576589911231403	Brassica_napus.AST_PRJEB5043_v1	0.60909585	1148
Pedilanthus leaf curl virus :Pedilanthus leaf curl virus:ssDNA(+/-):Solanum lycopersicum:GCF_000868385.1	eudicotyledons_Plant	DNA virus	Brassica	0.577653922818313	Brassica_napus.AST_PRJEB5043_v1	0.60909585	1116
Radish mosaic virus :Comovirus raphani:ssRNA(+)::GCF_000879335.1	eudicotyledons_Plant	RNA virus	Brassica	0.586466504226379	Brassica_napus.AST_PRJEB5043_v1	0.60909585	2948
Raphanus sativus cryptic virus 2 :Raphanus sativus cryptic virus 2:dsRNA:Raphanus sativus:GCF_000872665.1	eudicotyledons_Plant	RNA virus	Brassica	0.646932054794856	Brassica_napus.AST_PRJEB5043_v1	0.60909585	1170
Ribgrass mosaic virus :Ribgrass mosaic virus:ssRNA(+):Plantago major:GCF_000854645.1	eudicotyledons_Plant	RNA virus	Brassica	0.579545652488706	Brassica_napus.AST_PRJEB5043_v1	0.60909585	3131
Tobacco mosaic virus :Tobacco mosaic virus:ssRNA(+)::GCF_000854365.1	eudicotyledons_Plant	RNA virus	Brassica	0.578922210836645	Brassica_napus.AST_PRJEB5043_v1	0.60909585	3672
Tobacco rattle virus :Tobacco rattle virus:ssRNA(+)::GCF_000851445.1	eudicotyledons_Plant	RNA virus	Brassica	0.592538574275202	Brassica_napus.AST_PRJEB5043_v1	0.60909585	3844
Tomato leaf curl Karnataka virus :Tomato leaf curl Karnataka virus:ssDNA(+/-)::GCF_000840185.1	eudicotyledons_Plant	DNA virus	Brassica	0.570089344565469	Brassica_napus.AST_PRJEB5043_v1	0.60909585	1100
Tomato leaf curl Kerala virus :Tomato leaf curl Kerala virus:ssDNA(+/-):Solanum lycopersicum:GCF_000881415.1	eudicotyledons_Plant	DNA virus	Brassica	0.569190351234038	Brassica_napus.AST_PRJEB5043_v1	0.60909585	1100
Tomato yellow leaf curl virus :Tomato yellow leaf curl virus:ssDNA(+/-):Capsicum annuum:GCF_000858205.1	eudicotyledons_Plant	DNA virus	Brassica	0.551019034330323	Brassica_napus.AST_PRJEB5043_v1	0.60909585	1097
Turnip curly top virus :Turnip curly top virus:ssDNA(+/-):Brassica rapa:GCF_000887455.1	eudicotyledons_Plant	DNA virus	Brassica	0.551394813414034	Brassica_napus.AST_PRJEB5043_v1	0.60909585	1138
Turnip leaf roll virus :Turnip leaf roll virus:ssDNA(+/-):Brassica rapa var. rapa:GCF_001550845.1	eudicotyledons_Plant	DNA virus	Brassica	0.562700947838591	Brassica_napus.AST_PRJEB5043_v1	0.60909585	1140
Turnip mosaic virus :Turnip mosaic virus:ssRNA(+)::GCF_000863465.1	eudicotyledons_Plant	RNA virus	Brassica	0.570625352842343	Brassica_napus.AST_PRJEB5043_v1	0.60909585	3164
Turnip ringspot virus :Turnip ringspot virus:ssRNA(+)::GCF_000885935.1	eudicotyledons_Plant	RNA virus	Brassica	0.57503463223822	Brassica_napus.AST_PRJEB5043_v1	0.60909585	2955
Turnip ringspot virus :Turnip ringspot virus:ssRNA(+):Brassica oleracea var. botrytis:GCF_029887465.1	eudicotyledons_Plant	RNA virus	Brassica	0.573361856365326	Brassica_napus.AST_PRJEB5043_v1	0.60909585	2955
Turnip rosette virus :Turnip rosette virus:ssRNA(+):Brassica rapa:GCF_000916675.1	eudicotyledons_Plant	RNA virus	Brassica	0.5784381393998	Brassica_napus.AST_PRJEB5043_v1	0.60909585	1867
Turnip yellow mosaic virus :Tymovirus brassicae:ssRNA(+)::GCF_000862065.1	eudicotyledons_Plant	RNA virus	Brassica	0.63095072575782	Brassica_napus.AST_PRJEB5043_v1	0.60909585	2649
Turnip yellows virus :Turnip yellows virus:ssRNA(+)::GCF_000855905.1	eudicotyledons_Plant	RNA virus	Brassica	0.575858578819007	Brassica_napus.AST_PRJEB5043_v1	0.60909585	2937
Watermelon chlorotic stunt virus :Watermelon chlorotic stunt virus:ssDNA(+/-):Citrullus lanatus subsp. vulgaris:GCF_000837565.1	eudicotyledons_Plant	DNA virus	Brassica	0.576897264228932	Brassica_napus.AST_PRJEB5043_v1	0.60909585	1610
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-)::GCF_004786615.1	bird	RNA virus	Bubo	0.601560587324246	Bubo_bubo.BubBub1.0	0.6632408	4621
Avian orthoavulavirus 1 :Orthoavulavirus javaense:ssRNA(-):Anas platyrhynchos:GCF_002834085.1	bird	RNA virus	Bubo	0.587918822664834	Bubo_bubo.BubBub1.0	0.6632408	4576
Columbid alphaherpesvirus 1 :Mardivirus columbidalpha1:dsDNA:Columba livia:GCF_002116095.1	bird	DNA virus	Bubo	0.681181086914422	Bubo_bubo.BubBub1.0	0.6632408	54221
Usutu virus :Orthoflavivirus usutuense:ssRNA(+)::GCF_000854945.1	bird	RNA virus	Bubo	0.664609862949399	Bubo_bubo.BubBub1.0	0.6632408	4631
West Nile virus :Orthoflavivirus nilense:ssRNA(+)::GCF_000861085.1	bird	RNA virus	Bubo	0.669119806566899	Bubo_bubo.BubBub1.0	0.6632408	4621
West Nile virus :Orthoflavivirus nilense:ssRNA(+)::GCF_000875385.1	bird	RNA virus	Bubo	0.666286191102338	Bubo_bubo.BubBub1.0	0.6632408	7181
Avian hepatitis E virus :Avihepevirus magniiecur:ssRNA(+)::GCF_000915995.1	bird	RNA virus	Buteo	0.647606707418285	Buteo_japonicus.ButJap1.0	0.661825	2224
