Host	median	low	high
Sphenodon_punctatus.ASM311381v1	0.6745108	0.5930843625	0.778815035
Stegastes_partitus.Stegastes_partitus-1.0.2	0.56532285	0.4465309775	0.700674615
Strigops_habroptila.bStrHab1_v1.p	0.59655325	0.4703164875	0.7918387675
Strix_occidentalis_caurina.Soccid_v01	0.63717145	0.5259520075	0.7995056925
Struthio_camelus_australis.ASM69896v1	0.7006805	0.635765675	0.782331555
Suricata_suricatta.meerkat_22Aug2017_6uvM2_HiC	0.7358115	0.63672605	0.82052047
Sus_scrofa.Sscrofa11.1	0.7291788	0.636856135	0.8121452975
Sus_scrofa_bamei.Bamei_pig_v1	0.7251509	0.62107378	0.81789515
Sus_scrofa_berkshire.Berkshire_pig_v1	0.7307504	0.631526281049531	0.81969558
Sus_scrofa_hampshire.Hampshire_pig_v1	0.716034136978553	0.598318196384012	0.817133199151214
Sus_scrofa_jinhua.Jinhua_pig_v1	0.721402761235163	0.617352791516748	0.812203103198752
Sus_scrofa_landrace.Landrace_pig_v1	0.733253650724434	0.6353683644587	0.820461280695663
Sus_scrofa_largewhite.Large_White_v1	0.734105915786584	0.629787420618965	0.824362975352766
Sus_scrofa_meishan.Meishan_pig_v1	0.726253283683339	0.62153191423986	0.819684707060417
Sus_scrofa_pietrain.Pietrain_pig_v1	0.732012276305862	0.633420675270765	0.81825591942072
Sus_scrofa_rongchang.Rongchang_pig_v1	0.726320234871715	0.622955570224819	0.81838494397729
Sus_scrofa_tibetan.Tibetan_Pig_v2	0.726636471035294	0.622330173480358	0.820395924715445
Sus_scrofa_usmarc.USMARCv1.0	0.72498445060571	0.626514074892203	0.812565063550195
Sus_scrofa_wuzhishan.minipig_v1.0	0.72786954975283	0.628343558108945	0.818310416888217
Taeniopygia_guttata.bTaeGut1_v1.p	0.533351138828302	0.364416835864991	0.759560465862203
Takifugu_rubripes.fTakRub1.2	0.628712590960188	0.524049746430533	0.732806381450833
Terrapene_carolina_triunguis.T_m_triunguis-2.0	0.706268297361813	0.637278078203174	0.794443409876228
Tetraodon_nigroviridis.TETRAODON8	0.604021930506176	0.473898942703383	0.746415816377724
Theropithecus_gelada.Tgel_1.0	0.72168354095044	0.619574873763792	0.816561607727978
Trifolium_pratense.Trpr	0.670965096632042	0.596114721186732	0.758240846792655
Triticum_aestivum.IWGSC	0.527022254453652	0.328592609143193	0.807451446062302
Triticum_aestivum_arinalrfor.PGSBv2.1	0.5206781645114	0.316577380941168	0.801986081485983
Triticum_aestivum_jagger.PGSBv2.1	0.523006156006217	0.323151293269538	0.802474720567983
Triticum_aestivum_julius.PGSBv2.1	0.519957993890815	0.322398170112967	0.800221465670803
Triticum_aestivum_kariega.Tae_Kariega_v1	0.417074097040618	0.264416138034581	0.794545912170596
Triticum_aestivum_lancer.PGSBv2.1	0.524823803903238	0.322075811560199	0.803596273803577
Triticum_aestivum_landmark.PGSBv2.1	0.523261890474292	0.323140489687161	0.802991474183748
Triticum_aestivum_mace.PGSBv2.1	0.523068319924451	0.322312806030276	0.803242133637385
Triticum_aestivum_mattis.PGSBv2.1	0.523833381599458	0.322730927360215	0.803091080582882
Triticum_aestivum_norin61.PGSBv2.1	0.519039843483842	0.317824481233884	0.802252234271513
Triticum_aestivum_refseqv2.IWGSC_RefSeq_v2.1	0.532786030962176	0.331312786363856	0.808062900604493
Triticum_aestivum_renan.Triticum_aestivum_Renan_v2.1	0.540689827186076	0.340261998839999	0.804502655081519
Triticum_aestivum_stanley.PGSBv2.2	0.52294511344982	0.323481958631656	0.802569256033741
Triticum_dicoccoides.WEWSeq_v.1.0	0.492585487162941	0.334914672691423	0.800516754320317
Triticum_spelta.PGSBv2.0	0.53001184594263	0.332425806625777	0.805813693316786
Triticum_turgidum.Svevo.v1	0.525519786975705	0.331551221916237	0.803308061492924
Triticum_urartu.IGDB	0.49514534724862	0.325244317753258	0.791842363240091
Tupaia_belangeri.TREESHREW	0.723846988465632	0.629670564857779	0.817491224929072
Tursiops_truncatus.turTru1	0.7092636717837	0.577820703477911	0.818154571251937
Urocitellus_parryii.ASM342692v1	0.748647911549918	0.657636944545076	0.824139682912846
Ursus_americanus.ASM334442v1	0.739979778996742	0.639503211679204	0.823643621903862
Ursus_maritimus.UrsMar_1.0	0.730721865405161	0.635403709975924	0.817932987552321
Ursus_thibetanus_thibetanus.ASM966005v1	0.727094027047623	0.612472254674306	0.822032988853963
Varanus_komodoensis.ASM479886v1	0.723149265047097	0.648407375125458	0.805522623870732
Vicugna_pacos.vicPac1	0.711136594991024	0.637750013357834	0.801234197002926
Vigna_angularis.Vigan1.1	0.69409483712586	0.622117423006212	0.761052620116994
Vigna_radiata.Vradiata_ver6	0.717993693158333	0.656084357568338	0.776568168698754
Vigna_unguiculata.ASM411807v1	0.694419746758468	0.61901612524705	0.76529755499599
Vitis_vinifera.PN40024.v4	0.713044348836383	0.6521257421335	0.774430425375453
Vombatus_ursinus.bare-nosed_wombat_genome_assembly	0.747025635785683	0.674030270148152	0.812256717262263
Vulpes_vulpes.VulVul2.2	0.733784327739566	0.646759910594277	0.809102598335199
Xenopus_tropicalis.UCB_Xtro_10.0	0.701900229748943	0.633738704794067	0.769646920198651
Xiphophorus_couchianus.Xiphophorus_couchianus-4.0.1	0.579666524473042	0.447068174637836	0.722669713485153
Xiphophorus_maculatus.X_maculatus-5.0-male	0.578007971765176	0.441987751732213	0.721846738142522
Zalophus_californianus.mZalCal1.pri	0.724888450121844	0.631717832485751	0.81052483156636
Zea_mays.Zm-B73-REFERENCE-NAM-5.0	0.581728759821717	0.400993585812949	0.808820443804582
Zonotrichia_albicollis.Zonotrichia_albicollis-1.0.1	0.563601056308873	0.427394778076011	0.757792507425094
Zosterops_lateralis_melanops.ASM128173v1	0.566411731622112	0.42499484481189	0.775941856424766
