Geneid,Length,mono_Ctrl_1,mono_Ctrl_2,mono_XS1_1,mono_XS1_2,mono_XS2_1,mono_XS2_2,mono_XS4_1,mono_XS4_2
ENSG00000196220,3370,46.33,61.6,45,40.4,31.4,63.1,40,56.8
ENSG00000131378,1819,291.5,317,283.5,308,234.5,353.5,236,341.5
ENSG00000170293,519,273,309.5,331,300,262.5,306,272,404
ENSG00000163528,487,411,500.67,487.5,537.67,398,653.83,470.83,620.67
ENSG00000196277,3192,0,0,0.33,0,0.33,0,0,0
ENSG00000283563,546,3.5,2,2.5,2.5,2.5,4,1.5,6.5
ENSG00000033867,3920,724.5,964,810,778,717,1131.5,650.5,1000.5
ENSG00000177842,1464,345.5,408.7,391.98,444,344.75,500.83,345.53,544.98
ENSG00000154783,4543,40,47.5,30.5,29.5,31.5,45.5,30.33,35
ENSG00000170248,2783,4504,5724.33,5144.5,5000.66,4216.25,5827.83,4217.33,6371.99
ENSG00000144647,1740,282,368,284,360,249,393,287,397
ENSG00000144655,1767,138,211,196,193,180,225,208.5,240
ENSG00000154781,1411,349,429.5,417,471,371,554.5,343,554
ENSG00000196653,1632,16.2,19.14,15.17,22.98,20.75,22.28,20.17,23.83
ENSG00000169964,477,85,95.5,84,88,65,108,75,120
ENSG00000168032,1837,0,0,0,0,0,0,0,0.33
ENSG00000144455,1386,168.5,201.5,149.5,176.5,137.5,180,119,198
ENSG00000131381,2512,277,384,367,386,299,505,333,453
ENSG00000157093,438,0,0,0,0,0,0,0,0
ENSG00000186446,813,11.17,22.53,15.12,16.27,22.75,32.82,11.2,30
ENSG00000144642,1887,181.44,264.66,215.89,211.6,188.71,283.34,185.8,221.4
ENSG00000172940,1653,1,0,1,0,1,0,0,1
ENSG00000163810,2052,0,0,1,2,0,0,1,0
ENSG00000131368,626,1454.5,1743,1719.5,1876.33,1396.83,2011.33,1415.5,2226.92
ENSG00000185614,855,7.25,12,8,19.17,4.25,14,8,12
ENSG00000268279,397,80.5,91,88.5,108.5,76,97,72,118.5
ENSG00000170364,2324,106.1,144.75,135.02,168.87,126.38,177.13,130.22,204.76
ENSG00000175928,2148,1,2,1,1,0,4,0,1
ENSG00000163788,2295,311,400,334,370.5,321,470.5,319.5,505.5
ENSG00000183960,3336,0,0,0,0,1,0,0,0.5
ENSG00000114353,1266,1003.5,1224,1111.5,1177.5,868.08,1271.83,864,1255
ENSG00000144659,1077,275.33,347,328,384.5,287.5,426.17,299.5,476.5
ENSG00000153560,1699,376.5,444.5,460,485,355.83,446.5,354,560.5
ENSG00000177873,1941,86.58,102.03,112.96,104.58,96.68,126.98,78.93,133.17
ENSG00000144649,1725,57,75,74.5,86.5,63.5,78.5,70,83.5
ENSG00000144674,6887,862.5,1096,892.5,875,686,992,717.5,970
ENSG00000163512,1326,212.33,332.33,271.17,300.33,233,365.83,253,419
ENSG00000163491,3625,36,48,65,56,49,61,52,87
ENSG00000126062,1053,507.5,630,545,559,456,560,500,702
ENSG00000163673,2451,8,15,14,8,10,14,12,12
ENSG00000114349,1050,4,3.5,6,2.5,1.83,2,2.5,3.5
ENSG00000075914,873,1430,1610,1614,1768.5,1352,1950.5,1406,1947
ENSG00000114378,1305,1,3,3,5,4,7,2,4
ENSG00000179152,1559,173,231,199,192,168.5,239,177,305
ENSG00000114388,1141,586,730,639,762.5,543,750.5,597.5,822
ENSG00000168301,711,200,257,215,224,184,284,201,292
ENSG00000144566,691,553.67,646.83,658.67,604.5,579.17,803.5,599.17,844.5
ENSG00000177463,2073,308,361,316,380,280,405,276,418
ENSG00000168334,5529,1,1,1,0,0,1,1,0
ENSG00000214686,438,0,0,0,0,0,0,0,0
ENSG00000170266,2178,1272.5,1658,1457,1537,1147,1781.5,1211.5,1771.5
ENSG00000160746,2181,581.5,713,731,766,549,797.5,622,847.5
ENSG00000055955,2805,4,8,4,6,3,5,5,8
ENSG00000163520,3879,0,0,1,1,0,2,2,1
ENSG00000055957,2836,0,0,0,1,0,0,0,0
ENSG00000172939,1657,945,1172,989,1049,879,1208.5,893.5,1268
ENSG00000164076,1507,199,224,226.5,276.5,210,302,205.5,272.5
ENSG00000163808,4209,625,804,643.5,715,562,833,569,878.5
ENSG00000088543,642,3,2,2,4,3,3,5,1
ENSG00000168273,270,440,532,518,597,456,635,490.5,785
ENSG00000114383,384,313.5,317,299,387,251,372,257,396
ENSG00000144724,4335,873.44,1194.83,990.61,1015.56,796.5,1235.5,788,1142.39
ENSG00000197548,2255,654.5,804,777,793.5,560,800.5,654.5,884
ENSG00000163812,1461,149.5,209.5,180.5,217,142.5,213,166,217.5
ENSG00000248592,1180,80.17,96.92,92.83,103.33,70.33,101.17,79.33,96.75
ENSG00000182179,3036,2,4,3,4,3,3.5,2.5,2
ENSG00000164078,4223,126,117,116,138,119,150,105,148
ENSG00000174840,1856,1312,1681,1516,1634,1255,1683.5,1351,1945
ENSG00000154814,1020,194.33,229,238,267,205,317,290,322
ENSG00000163939,5112,2357,3213,2606,2531.5,2426,2857,2164,2963
ENSG00000173473,3315,5589.5,7194.5,6333.5,6541,5322.25,7343.33,5419.5,7816.67
ENSG00000170275,1203,1353.5,1741.5,1427,1527,1189.5,1616,1153.5,1659.5
ENSG00000144619,3169,0,1,1,0,0,1,1,0
ENSG00000068001,1419,340,507,420,449,380,475.5,332,534
ENSG00000186451,570,0,0,1,0,0,0,0,0
ENSG00000169855,5234,2250.5,3018.5,2335,2484,2004,2964,1918,2862.5
ENSG00000173421,1908,0,0,0,0,0,1,0,1
ENSG00000011198,1215,197.5,236,230,271,208,289,216,324.5
ENSG00000132182,5661,5672.5,7309.17,6410.33,6881.33,5236.5,7473.83,5142.5,7100.33
ENSG00000144677,1198,133.5,165,158,144,122,161.5,106,158
ENSG00000162267,2680,2,0,0.5,1,1,2,0,0
ENSG00000163935,2598,282,368.5,306,319,269,361,271,409
ENSG00000179934,1065,0,0,0,0,0,0,0,0
ENSG00000283434,2202,0,1,0,0,0,0,0,0
ENSG00000185008,4854,362.33,466.5,330.75,364.33,256.5,420.83,287.5,384.67
ENSG00000151276,4736,401.32,498.87,460.88,435.74,359.57,487.98,356.03,503.98
ENSG00000114738,1147,393.5,485.5,470.5,510.5,404.5,598,434,597
ENSG00000113966,579,148,206,182,171,180,225,146.5,221.5
ENSG00000206538,1001,42.12,84,57.58,64.12,61,72,43.27,66
ENSG00000114480,2126,481.5,676.5,624,616,536,777,477.5,709.5
ENSG00000088538,6090,118,167,164,180,136,186,126,188
ENSG00000172986,1391,117.33,126,130.83,141.5,116.17,148.33,109.17,161.5
ENSG00000153558,1493,165,211,202,240,186,242,164,260
ENSG00000164077,1967,302,339.5,304,356,241,361,257,424
ENSG00000114541,3285,233,363,329,341.67,279,427.5,251.5,363
ENSG00000187492,2500,0,0,0,1,0,0,0,0
ENSG00000272573,270,1.17,0.67,0.33,0.33,0.33,0.67,0.33,0
ENSG00000168036,2411,19319.5,24969.5,20556.5,21733.17,17051.33,24694.75,17497.5,25585.5
ENSG00000174839,1863,429,568.5,487.5,530,423.5,606,401.25,612
ENSG00000157445,3275,49,62.33,51,76,47,73,34.5,75
ENSG00000213439,925,0,0,0,0,0,0,0,0
ENSG00000163618,4369,0,1,1,1,0,0,0,1
ENSG00000163376,1803,117,182,209,227,192,277,213,309
ENSG00000272305,394,50,58.5,56.5,50.5,40,57.5,30.5,67
ENSG00000144744,1512,1389,1746,1563,1639,1318.5,1951,1388,2131
ENSG00000173769,5076,0,0,0,0,1,1,0,0
ENSG00000121440,3441,230.5,285,259.5,278,234.5,288.5,181.5,266.5
ENSG00000080819,1362,1133,1345,1177.25,1355.75,1024.5,1483.25,1021.25,1488.5
ENSG00000168309,682,1,0,0,0,0,0,0,0
ENSG00000227124,2807,110.52,108.78,101.55,113.87,83.23,146.24,99.2,155.53
ENSG00000064225,1430,116,150,142,107,83,140,104,150
ENSG00000163378,1986,213.5,273.5,251.5,219.5,181,278,201,315.5
ENSG00000170854,1451,706,906,795,893,647.5,909.5,712,1117.5
ENSG00000163938,1654,4648,6030.5,5767,5920.5,5388,7812.5,5731.83,8690.17
ENSG00000269028,72,0,0,0,0,0,0,0,0
ENSG00000044524,2972,93,129,127,116.5,95,153,100,122
ENSG00000081148,3723,1,1,0,2,0,0,0,0
ENSG00000144747,3288,865.5,1233.5,956.5,1061.5,819.5,1294,882,1321
ENSG00000183185,1401,0,0,0,0,0,0,0,0
ENSG00000003756,2527,1189.5,1657,1390.5,1473,1202.5,1675.5,1071.5,1583.5
ENSG00000196098,963,0,0,0,0,0,0,0,0
ENSG00000036054,2132,805,1081,965,1040.5,833.5,1192,784,1198.5
ENSG00000154174,1824,1994,2745,2391,2640,1974.5,2979,2159,3358
ENSG00000138468,3301,117,205,175,178,162,247.5,148.6,199
ENSG00000057019,2440,353.5,496,427,427,342,462,343.5,512.5
ENSG00000184220,918,1206.5,1486.5,1391,1501,1197.33,1684,1323.5,1939
ENSG00000114021,1156,534.5,705.5,642,720.5,584,901,523,907.5
ENSG00000144815,1677,136,193,170,185,161,221,165,199
ENSG00000255423,816,2,3,2,0,0,3,2,2
ENSG00000114423,3118,170,213,218,221,177,257.5,196,268
ENSG00000285635,209,66,96,83.25,92.75,66,111.75,66.75,111
ENSG00000206535,573,15,8,4,10,4,9,8,10
ENSG00000080224,3878,130,183,154,161,144,199,134.33,177
ENSG00000004838,1410,4,9,6,9,2,8,8,7
ENSG00000144821,5838,8,4,2,5,3,8,5,3
ENSG00000153266,1377,1,1,0,1,0,2,2,0.14
ENSG00000163617,2881,42,38,36,42,28,40,19,41
ENSG00000164082,2633,5,6,9,6,9,7,5,6.5
ENSG00000138472,668,0,0,0,0,0,0,0,0
ENSG00000239388,1782,0,0,0,0,0,0,0,0
ENSG00000174844,12106,0,0,2,1,1,2,1,2
ENSG00000144802,2154,70,83,67,78,42,54,43,80
ENSG00000080200,8925,721,904,708,745,586.5,899.5,574,867
ENSG00000144810,2232,12,21,19,18,14,23,13,13
ENSG00000243696,288,1.67,0.67,0.33,0.33,1.33,0.67,0.33,0
ENSG00000163608,1702,427,582,543,561,456,666,477,746
ENSG00000170017,1750,948.5,1232.33,1098,1075.33,1003,1353,911.33,1350
ENSG00000144827,957,920,1194,1178.5,1210,931,1440,963,1499
ENSG00000272104,150,55,55,56,75.5,50.5,60,49.5,73
ENSG00000174500,583,0,0,0,0,0,0,0,0
ENSG00000114439,2983,1238.67,1625.5,1497.5,1558.2,1262.5,1900.5,1228.5,1704
ENSG00000163815,606,1,2,1,0,2,2,2,2
ENSG00000168268,1974,1805,2215,1823,2162.5,1482.5,2119.5,1435.5,2251
ENSG00000163412,672,71.5,90,81,79,55,100.5,59.5,83
ENSG00000163507,2762,1693,2243.5,2017,2038,1592,2485,1636,2521.5
ENSG00000183763,1443,368,499,448.5,464.5,406,468,396.5,579
ENSG00000176040,2582,0,0,0,0,0,0,1,1
ENSG00000144771,1035,0,0,0,0,0,0,0,0
ENSG00000154165,1080,0,0,0,0,0,0,0,0
ENSG00000206531,944,0,0.5,0,0,0.5,0,0,1
ENSG00000249992,900,47,50,36,58,43,49.33,30,44
ENSG00000091972,889,0,0,1,1,0,0,1,1
ENSG00000163377,420,10,21,14,21.5,11,4,5,11
ENSG00000176142,1510,206,306,304,327,270,429,337.5,518
ENSG00000163681,3058,325,434.5,464.5,445,322,450.5,329,497.5
ENSG00000163666,555,4,2,3,5,3,7,5,12
ENSG00000145050,549,2982,3781,3758.5,3945,2826.5,4128.5,3493.67,5092.5
ENSG00000113845,856,1022.5,1371.67,1117,1309,905.5,1523,978.5,1565
ENSG00000176095,1323,789,972,930,1030,784.5,1148,902,1228.5
ENSG00000198919,3624,607,801.5,719.83,704,555,798,547,858
ENSG00000121570,912,0,0,0,0,0,0,0,0
ENSG00000163530,894,0,0,1,0.33,0,2,1,0
ENSG00000114902,507,2307.5,2906.5,2649,2928.5,2397,3106,2445,3655
ENSG00000010327,7710,0,3,1,2,3,0,3,1
ENSG00000285708,2531,438,578,486.5,460.25,390.5,540.75,380.75,561.25
ENSG00000173706,4465,443,593,524,549.33,385,688.33,410,574
ENSG00000144837,1455,0,0,0,0,0,0,0,0
ENSG00000170837,1125,122,142,123,146.33,86,122,90,154
ENSG00000163424,1641,0,0,0,0,0,0,0,0
ENSG00000004534,3462,718,954.5,797,796,690,905.5,598.5,1005.33
ENSG00000138483,984,0,0,0,0,0,0,0,0
ENSG00000163606,1088,0.5,2.5,0,0,2.5,2,0,1
ENSG00000168028,900,2709.24,3367.69,3291.44,3702.36,2550.88,3629.68,2756.4,4269.58
ENSG00000163814,2513,5,8,6,7,7,9,9,5
ENSG00000197385,1896,6.48,12.53,10.59,13.06,11.2,12.98,9.65,13.67
ENSG00000151576,1303,733.5,999.5,991,1013,840,1252,869.5,1345
ENSG00000121594,864,3,4,7,9,8,7,4,6
ENSG00000174738,1815,600.5,773,708,732,598,858,544,908.5
ENSG00000080822,1006,580.5,702,727,832.25,604,952,605,1027
ENSG00000163933,1623,537,687.5,629.5,605.5,469,705.5,510.5,725
ENSG00000241224,336,0,0,0,0,0,0,0,0
ENSG00000196578,927,0,0,0,0,0,0,0,0
ENSG00000189283,441,70,80,110,115,106,144,92,140
ENSG00000206530,5615,10,9,10,19,17.5,20,9,17
ENSG00000144746,732,1610,2046.5,1742.5,1874,1403,2113.5,1442.5,2161.5
ENSG00000168306,2151,1,3,6,3,3,4,0,0
ENSG00000196981,990,58,83,69,77.33,62,77.83,61,93.17
ENSG00000144847,1342,21,29,23,22,22,34,14,25
ENSG00000153551,823,282.5,349.5,352,369,305,414.5,291.5,449.5
ENSG00000163611,2565,151,208,201.5,201,177.5,247,166.5,260.5
ENSG00000163513,1776,164,221,180.5,183.5,172,197,133,216
ENSG00000114487,2952,1,1,0,0,0,0,0,0
ENSG00000183813,1080,0,1,0,0,0,0,1,0
ENSG00000144834,769,0,0,0,0,0,0,0,0
ENSG00000114446,1385,697.5,778.5,806,821,678,1009,717.5,949.5
ENSG00000285943,2565,151,208,201.5,201,177.5,247,166.5,260.5
ENSG00000185565,1266,74,82.5,85,70.5,66,96,62,90
ENSG00000163689,2654,56,66,66,54,49,71.5,41,76
ENSG00000121552,315,3,0,3,4,6,9,2,3
ENSG00000114520,1350,931,1237,1087,1150,874.5,1390,952,1417.5
ENSG00000121578,1054,245,296,291,280,263,388,232,370.5
ENSG00000114455,1363,0,0,0,0,0,0,0,0
ENSG00000163870,1122,280.5,343,354,368,267,356.5,308,393
ENSG00000183662,414,0,0,0,0,0,0,0,0
ENSG00000186265,867,0,0,0,1,0,1,0,0
ENSG00000114904,2693,529.06,685.11,612.33,661.5,505.11,765.3,490.67,771.01
ENSG00000180353,1492,61.33,77,61.33,77,55.33,94.83,82.33,105
ENSG00000172139,3531,0,0,2,0,0,0,0,0
ENSG00000144848,1012,1020,1302,1152.5,1176.5,952.5,1350,955.5,1503
ENSG00000169087,1464,125,169,150,197,138,191.5,156,217
ENSG00000259956,2670,485,584,580,642.5,523,578,462,700
ENSG00000114638,780,8.5,10,5,4,9,5.5,8,7
ENSG00000170142,774,2383.5,2984,2935.5,2881.5,2382.5,3351,2472,3681
ENSG00000163519,558,0,0,0,0,0,0,0,0
ENSG00000114784,339,1009,1246.5,1282.17,1344.67,1143,1768.67,1230.08,1797.67
ENSG00000177494,654,0,0,0,0,0,0,0,0
ENSG00000163607,929,676,858,730.5,775.83,554.5,845.5,607.5,885.5
ENSG00000214324,726,0,0,0,0,0,0,0,0
ENSG00000114030,1728,2276.25,2945,2584,2622,2299,3109.5,2303,3411
ENSG00000160124,481,707.9,872.5,858.67,902.03,698.42,1067.16,764.95,1127.63
ENSG00000163605,1347,1311.25,1606.4,1439.01,1470.68,1279.73,1869.45,1230.34,1859.98
ENSG00000014257,1378,84,86,82,92,52,93,52,78
ENSG00000001617,2376,163,261,201,228,184,279,156,198
ENSG00000188338,1512,283,373.5,359.25,342,292,398,287,389
ENSG00000170819,1245,0,0,0,1,0,0,0,0
ENSG00000251012,246,0.5,0,0,1,0,0.5,0,1
ENSG00000144824,4440,510,619.5,546,519,400,639,445,611
ENSG00000158186,624,63,85,114,106,95,131,91,109
ENSG00000198643,748,0,0,0,0,0,0,0.5,1
ENSG00000172888,1352,68,74.5,83.5,72.6,50.83,92.5,59,101.5
ENSG00000114125,488,968.75,1088.25,979,1092,869.75,1115,880.75,1220.5
ENSG00000273291,344,4.08,1.5,3.58,3.5,2.5,3.5,3.08,0.67
ENSG00000144909,2241,790.5,984,915.5,849,772,1062,745,1112.5
ENSG00000174579,1731,224,294,296,279,232,381,289,404
ENSG00000065485,1573,509,560,543,560,488,672,476,800
ENSG00000174564,1148,7.33,9,9,10,12,11,6,7
ENSG00000138459,1272,194,271,226,227,193,274,181,263
ENSG00000145103,1638,0,0,1,0,0,0,0,0
ENSG00000158220,2677,1,2,0,1,0,0,0,1
ENSG00000118007,3925,1178,1506,1410.5,1322.5,1008,1490,1019,1685
ENSG00000114631,1815,773.83,935.58,736.58,980.92,677.25,1032.67,710.08,1003.25
ENSG00000114573,1903,3545.5,4781,4212.5,4168,3730,5055.75,3536,5100.5
ENSG00000155903,2559,196.5,253,241,215.5,219.5,290.5,200.5,318
ENSG00000158234,683,799,902.5,886,944,730,1178,763,1193
ENSG00000206527,764,557.5,712,649,687.5,522,731.5,541.5,832.5
ENSG00000163421,387,19,25,29,29,23,26,19,32
ENSG00000163430,924,2899.5,3756,3149,3413,2765.33,4119,2594,3890
ENSG00000157500,2130,1082,1422.5,1264,1234.5,963.5,1451,973,1334.5
ENSG00000176542,6743,84.98,111.39,89.76,75.92,73.61,100.39,67.72,90.85
ENSG00000168875,720,0,0,1,0.5,0.5,0.75,0.5,0.25
ENSG00000214237,1380,0,0,0,0,0,0,0,0.5
ENSG00000118017,1020,0,0,0,0,0,0,0,0
ENSG00000114023,517,2525,3002,2818.5,3228.5,2657,3984.5,2499.33,3622
ENSG00000144895,1887,2126,2642,2493.83,2468.5,2085,2793,2079.83,3285.5
ENSG00000206536,963,0,0,0,0,0,0,0,0
ENSG00000114744,680,1079,1402,1311,1334.5,1050,1643,1158,1716.5
ENSG00000177707,2363,524,640.5,610.5,589,510.5,705,492.5,665
ENSG00000240891,1118,35,29,38,37,55,43,46,44
ENSG00000163637,2723,47,49,68,72,44,61,59,63
ENSG00000144843,1071,0,0,2,0,1,0,0,0
ENSG00000152977,1389,39,54.17,52,38,42,52,34,54.33
ENSG00000114013,987,1,0,0,0,1,1,0,3
ENSG00000175792,1595,5528.83,6788.5,6086.83,6600.5,4956.5,7066.5,5287,7913.5
ENSG00000198829,1002,0,1,0,0,0,2,0,0
ENSG00000065518,447,4375.33,5248.76,5097.18,5497.95,4294.11,6008.95,4331.35,6342.83
ENSG00000114107,1873,193,257,230,231.5,196,306,183.5,284
ENSG00000163590,1106,185,247,243.5,224,192.5,282,188,256
ENSG00000163406,2187,4,2,4,6,3,5,6,5
ENSG00000031081,4345,186,212,195.5,215,157,223,189,221
ENSG00000058262,1453,3569,4678.5,4277.5,4392.5,3311.5,4624.5,3878.5,5794
ENSG00000047457,3416,0,0,0,0,1,0,1,0
ENSG00000066405,1003,0,0,0,0,0,0,0,1
ENSG00000138231,1632,831,1060,1039,1073,811,1165.33,863,1388
ENSG00000173193,5502,384,551.5,404,440.5,334,468.5,391.5,488
ENSG00000158163,2495,63,71,73,83,65,62,68,90
ENSG00000159685,780,499.5,633,630.5,622,500,729,492.5,793.5
ENSG00000121579,512,2173,3107,2666,2621.5,2464.5,3459.5,2321.83,3633
ENSG00000182447,1431,0,0,0,0,0,0,0,0
ENSG00000163762,603,0,0,0,0,0,0,0,0
ENSG00000114686,1260,3739.5,4683.83,4412.5,4706.33,3760.17,5412.5,3991.83,6066.83
ENSG00000163630,1021,0,0,0,0,0,0,1,0
ENSG00000114771,1206,0,0,0,0,0,0,0,0
ENSG00000169255,993,0,0,0,0,0,0,0,0
ENSG00000158092,1165,324,448,348,376,314.5,442.5,333,459
ENSG00000114200,2059,20,29,16,23,22,29,21,33
ENSG00000197953,1203,0,0,0,0,0,0,0,0
ENSG00000118849,894,0,0,0,0,0.5,0,0,0
ENSG00000114790,2682,299,354.5,340.5,325.5,272.5,402,286.5,389
ENSG00000175093,926,68,95,76,86,68,77,58,67
ENSG00000169908,672,1,1,1,0,1,1,0,0
ENSG00000251287,645,11.79,15.3,8.96,9.64,10.42,14.11,8.3,12.13
ENSG00000181804,1935,42,53,41,54,47,67,30,57
ENSG00000181788,972,150,165,130,152,150,192,153,216
ENSG00000114670,2104,20,41,35,32,27,33,23,41
ENSG00000114115,687,635,772,648.2,747.5,587,845,567.5,817.2
ENSG00000248710,2844,141.5,202,189.5,196.75,160.25,240.25,160.5,246.25
ENSG00000075651,3709,221,266,226,209,184,261.33,170.5,249.5
ENSG00000121858,843,1,4,4,3,2,5,4,1
ENSG00000173889,3189,196,258.5,259,243,214,314,216,325.5
ENSG00000155893,1594,186,233,216,226,175,294,190,268
ENSG00000168917,1236,171,212,300,223,255,367,276,437
ENSG00000079257,774,163.83,200,220,200,167.5,243,151,219.5
ENSG00000151967,810,48,53,43,54.5,37.5,56,30.5,52
ENSG00000188306,1680,0,2,2,1,1,0,1,5
ENSG00000075420,3668,411.5,571.5,518,501,420,563.5,415.5,639.5
ENSG00000090402,5497,0,1,0,0,0,0,0,0
ENSG00000163584,502,330.5,402.5,394.67,408.83,349.33,456.17,378,577.83
ENSG00000144962,1762,0,0,1,0,0,0,0,0
ENSG00000173890,1014,11,19,11,11,17,19,11,18
ENSG00000114098,2124,607,771,702.5,716.5,647,870,624,1007
ENSG00000069849,957,3120.67,3969.83,3668.5,3644.83,2960.17,4541,3149.33,4739.33
ENSG00000168827,2334,1165,1496.5,1379,1477,1122,1749,1243.5,1902
ENSG00000285218,495,0,0,0,0,0,0.5,0,0
ENSG00000186329,582,0,0,0,0.25,0,0,0,0
ENSG00000163645,1989,1,5,1,5,5,0,1.5,1
ENSG00000163655,2079,2954.33,3727.83,3404.83,3432,2834.67,4030.83,2995.67,4380.67
ENSG00000171757,1392,164,204.5,180.5,198.5,177,249.5,146,232
ENSG00000132394,1788,846,932.5,922.5,988,805.5,1022,736.5,1071.5
ENSG00000163581,1572,0,0,0,0,0,0,0,3
ENSG00000118855,1892,210,227,243.5,241.5,175.5,277,234.5,326
ENSG00000121871,2931,110,140,106,107,105,136,85,120
ENSG00000168811,759,4,4,6.5,11,5,11,10,10
ENSG00000114120,1010,367,475,355,367,314,500,348,435
ENSG00000172752,7880,9.5,8,14.5,15,11,9,12.5,18
ENSG00000136603,2052,773,1010.5,1001,1033.5,773,1276.5,811,1367
ENSG00000169860,1119,66,97,75,91,63,76,78,110
ENSG00000114248,1658,0,1,0,0,0,0,0,1
ENSG00000114416,2025,2647.83,3335.5,2978.5,2856.75,2456.63,3338.5,2366.83,3556
ENSG00000120742,315,1058,1287,1328,1340,1007,1461.25,1209,1776
ENSG00000154310,4194,867.5,1094,825.5,882,707,950,611.5,927.5
ENSG00000068885,2425,130,174,144.5,154.75,140.25,181.25,137,207.75
ENSG00000163558,1788,665.67,864.33,786.5,787.67,640,907.67,680.5,896.83
ENSG00000114054,2064,2413,3045.5,2751.83,2838.5,2329,3352,2324,3444.5
ENSG00000177694,2385,2,2,2,0,1,0,0,2
ENSG00000285558,87,50.75,49.25,53.5,72.5,44.75,78,49.75,67
ENSG00000043093,777,325,541,442.17,460.5,370.5,585,376.5,579
ENSG00000152952,2467,2410,3126.5,2846.5,2869.5,2610.5,3886,1998,2835
ENSG00000078070,2238,340,367,363,361,321.5,475,302,443
ENSG00000008952,1345,1159.5,1501,1423,1493,1176,1756.5,1243,1859.5
ENSG00000173230,9873,1847.5,2415.5,2140,2318.33,1873,2712,1725.5,2602
ENSG00000181449,951,130.83,190.33,158,159.67,135.33,161.75,134.5,194.75
ENSG00000058063,3685,278,369.33,302,241.5,249,388,241,302
ENSG00000174953,3024,1426,1927.5,1703.5,1595.75,1562.5,1970.33,1519.5,2299.5
ENSG00000184378,1116,93,95,100,100,78,81,81,105
ENSG00000283154,1822,189,204,185.5,226.5,168.5,231,166.5,233
ENSG00000085276,3810,286,401,375.5,395.5,354.5,440,358,409
ENSG00000073111,2938,8826,11028,11674.5,12007.5,10655.5,12287.5,10137,13244
ENSG00000073803,3061,19.5,53,42,50.5,46.5,74.5,44,63
ENSG00000197415,2698,0,1,1,1,0,0,0,2
ENSG00000138463,1434,196,281,264,287,210,272.33,226,326
ENSG00000161202,2354,625,798,712,758,594.5,754.5,576.5,826.5
ENSG00000144893,6585,222.5,293,277.5,249,247,354,204,315.5
ENSG00000175040,1590,38,45,35,36,14,27,17,22
ENSG00000169760,2590,43,75,67,86,53,94,54,84
ENSG00000153767,1317,434,568,537,585,518.5,696,470,711
ENSG00000082684,3818,31,29,36.5,39.33,39,52,24,33
ENSG00000078081,1248,142,186,153,142,115,148,89,165
ENSG00000175054,8010,1271.5,1606.5,1367,1325.5,1022,1603.5,1116,1728.5
ENSG00000284862,2839,15,26,15.5,14,16,26,18,28
ENSG00000175077,789,0,0,0,0,0,0,0,0
ENSG00000173226,1794,423.17,582,573.33,549,490.5,776.83,494.67,828.17
ENSG00000169359,1693,244,307.75,286,279.5,239.75,346,239,386
ENSG00000197584,727,0,0,0,0,0,0,0,0
ENSG00000178084,1341,0,0,0,0,0,1,0,0
ENSG00000198843,596,701.83,854.5,727.33,926.83,631.42,880.17,634.67,948.83
ENSG00000206199,1633,0,0,0,0,0,0,0,0
ENSG00000169903,606,0,0,0,0,0,0,0,0
ENSG00000121853,1169,0,0,0,0,0,0,0,0
ENSG00000163840,2220,258,325,313.33,340,242,347,231,350
ENSG00000174948,2193,0,0,1,0,0,1,0,2
ENSG00000163659,1995,217,314,337,341,263.5,440,293,461
ENSG00000170893,726,0,0,0,0.5,0,0,1,0
ENSG00000013293,2313,0,1,0,0,0,0,0,0
ENSG00000113805,3084,1,2,2,3,3,1,1,1
ENSG00000157005,348,2,2,3,1,2,2,3,3
ENSG00000178075,2025,130,191,192,178.33,145.33,220,132,211
ENSG00000168038,3923,47.2,55.17,60.3,68.65,44.07,84.12,70.83,92.5
ENSG00000073711,3642,137,194,164,167,126,201,129,197
ENSG00000158258,2865,41,59,50,45,36.5,53,28,43.5
ENSG00000187527,3720,0,0,0,0,0,0,0,0
ENSG00000114796,1809,200,266,256,226,182,326,219,306
ENSG00000136514,738,0,0,0,0,0,0,0,0
ENSG00000285938,114,0,0,0,0,0,0,0,0
ENSG00000144730,2217,122,140,122,153,112,166,92,145
ENSG00000161204,2135,953,1178,1037,1204.5,851,1283,900,1402.5
ENSG00000138246,6832,945.5,1283.83,1134.5,1065,816.5,1272.5,904,1311
ENSG00000205981,348,264.45,335.5,303.08,321.62,227,379.75,280.25,448
ENSG00000275163,705,0,0,0,0,0,0,0,0
ENSG00000113924,1365,2,0,0,2,3,0,0,0
ENSG00000163389,1510,252,339,339,329.5,254,373.5,294,441.5
ENSG00000155890,2169,0,0,0,0,0,0,0,0
ENSG00000196083,2490,143,190,180,193,127,211,146,203
ENSG00000058866,2373,0,6,2,4,1,4,4,4
ENSG00000172578,1863,0,0,0,0,0,0,0,0
ENSG00000260234,256,0,0,0,0,0,0,0,0
ENSG00000114331,2679,468,660,527,576.5,453,630,437,636.5
ENSG00000136527,942,5958.28,7566.11,6786.61,7321.33,5984.72,8257,6086,8754
ENSG00000163638,5806,112,154,138,144,110,164,96,154
ENSG00000176597,1134,60,82,61,68,57,94,52,86
ENSG00000188958,419,1,1,0,0,0,2,0,1
ENSG00000182606,3763,260,250,246,274,206,353,221,283
ENSG00000114626,1479,80,90,113,128,94,116,75,106
ENSG00000173905,2088,550,671,557,540,482,649,444,654
